# x_m,y_m,w_tr_right_m,w_tr_left_m
2.0700,4.5225,0.1622,0.1622
2.0475,4.5450,0.1647,0.1647
2.0362,4.5675,0.1644,0.1644
2.0137,4.5900,0.1658,0.1658
2.0025,4.6125,0.1661,0.1661
1.9912,4.6350,0.1661,0.1661
1.9800,4.6575,0.1652,0.1652
1.9688,4.6800,0.1635,0.1635
1.9575,4.7025,0.1622,0.1622
1.9350,4.7250,0.1647,0.1647
1.9237,4.7475,0.1644,0.1644
1.9012,4.7700,0.1635,0.1635
1.8900,4.7925,0.1652,0.1652
1.8787,4.8150,0.1672,0.1672
1.8675,4.8375,0.1676,0.1676
1.8562,4.8600,0.1658,0.1658
1.8450,4.8825,0.1644,0.1644
1.8337,4.9050,0.1634,0.1634
1.8225,4.9275,0.1628,0.1628
1.8113,4.9500,0.1627,0.1627
1.7887,4.9725,0.1644,0.1644
1.7775,4.9950,0.1647,0.1647
1.7662,5.0175,0.1654,0.1654
1.7550,5.0400,0.1652,0.1652
1.7437,5.0625,0.1635,0.1635
1.7325,5.0850,0.1622,0.1622
1.7100,5.1075,0.1647,0.1647
1.6987,5.1300,0.1644,0.1644
1.6763,5.1525,0.1644,0.1644
1.6650,5.1750,0.1635,0.1635
1.6537,5.1975,0.1622,0.1622
1.6312,5.2200,0.1635,0.1635
1.6200,5.2425,0.1644,0.1644
1.6087,5.2650,0.1645,0.1645
1.5975,5.2875,0.1647,0.1647
1.5862,5.3100,0.1644,0.1644
1.5637,5.3325,0.1644,0.1644
1.5525,5.3550,0.1658,0.1658
1.5413,5.3775,0.1676,0.1676
1.5413,5.4000,0.1647,0.1647
1.5300,5.4225,0.1628,0.1628
1.5075,5.4450,0.1644,0.1644
1.4962,5.4675,0.1634,0.1634
1.4850,5.4900,0.1628,0.1628
1.4737,5.5125,0.1627,0.1627
1.4512,5.5350,0.1644,0.1644
1.4400,5.5575,0.1647,0.1647
1.4287,5.5800,0.1654,0.1654
1.4175,5.6025,0.1652,0.1652
1.4062,5.6250,0.1635,0.1635
1.3838,5.6475,0.1654,0.1654
1.3725,5.6700,0.1647,0.1647
1.3500,5.6925,0.1654,0.1654
1.3387,5.7150,0.1665,0.1665
1.3275,5.7375,0.1666,0.1666
1.3162,5.7600,0.1661,0.1661
1.3050,5.7825,0.1661,0.1661
1.2937,5.8050,0.1661,0.1661
1.2825,5.8275,0.1661,0.1661
1.2712,5.8500,0.1661,0.1661
1.2600,5.8725,0.1652,0.1652
1.2488,5.8950,0.1635,0.1635
1.2375,5.9175,0.1622,0.1622
1.2150,5.9400,0.1647,0.1647
1.1925,5.9625,0.1644,0.1644
1.1812,5.9850,0.1658,0.1658
1.1700,6.0075,0.1676,0.1676
1.1587,6.0300,0.1672,0.1672
1.1475,6.0525,0.1652,0.1652
1.1362,6.0750,0.1635,0.1635
1.1250,6.0975,0.1622,0.1622
1.1138,6.1200,0.1614,0.1614
1.1025,6.1425,0.1610,0.1610
1.0800,6.1650,0.1644,0.1644
1.0687,6.1875,0.1647,0.1647
1.0575,6.2100,0.1654,0.1654
1.0462,6.2325,0.1661,0.1661
1.0350,6.2550,0.1664,0.1664
1.0237,6.2775,0.1661,0.1661
1.0125,6.3000,0.1661,0.1661
1.0012,6.3225,0.1652,0.1652
0.9900,6.3450,0.1635,0.1635
0.9788,6.3675,0.1622,0.1622
0.9562,6.3900,0.1647,0.1647
0.9450,6.4125,0.1644,0.1644
0.9337,6.4350,0.1644,0.1644
0.9225,6.4575,0.1634,0.1634
0.9113,6.4800,0.1628,0.1628
0.9000,6.5025,0.1627,0.1627
0.8887,6.5250,0.1630,0.1630
0.8775,6.5475,0.1637,0.1637
0.8662,6.5700,0.1649,0.1649
0.8550,6.5925,0.1664,0.1664
0.8438,6.6150,0.1679,0.1679
0.8325,6.6375,0.1679,0.1679
0.8325,6.6600,0.1660,0.1660
0.8212,6.6825,0.1661,0.1661
0.8100,6.7050,0.1661,0.1661
0.7987,6.7275,0.1664,0.1664
0.7875,6.7500,0.1671,0.1671
0.7762,6.7725,0.1647,0.1647
0.7762,6.7950,0.1664,0.1664
0.7762,6.8175,0.1647,0.1647
0.7650,6.8400,0.1671,0.1671
0.7650,6.8625,0.1661,0.1661
0.7537,6.8850,0.1691,0.1691
0.7537,6.9075,0.1688,0.1688
0.7537,6.9300,0.1687,0.1687
0.7425,6.9525,0.1725,0.1725
0.7425,6.9750,0.1725,0.1725
0.7425,6.9975,0.1725,0.1725
0.7425,7.0200,0.1725,0.1725
0.7425,7.0425,0.1725,0.1725
0.7425,7.0650,0.1725,0.1725
0.7425,7.0875,0.1725,0.1725
0.7537,7.1100,0.1687,0.1687
0.7537,7.1325,0.1687,0.1687
0.7537,7.1550,0.1687,0.1687
0.7537,7.1775,0.1684,0.1684
0.7650,7.2000,0.1657,0.1657
0.7650,7.2225,0.1665,0.1665
0.7650,7.2450,0.1677,0.1677
0.7650,7.2675,0.1688,0.1688
0.7762,7.2900,0.1671,0.1671
0.7875,7.3125,0.1647,0.1647
0.7875,7.3350,0.1664,0.1664
0.7875,7.3575,0.1664,0.1664
0.7987,7.3800,0.1672,0.1672
0.8100,7.4025,0.1664,0.1664
0.8212,7.4250,0.1661,0.1661
0.8325,7.4475,0.1661,0.1661
0.8438,7.4700,0.1664,0.1664
0.8550,7.4925,0.1661,0.1661
0.8662,7.5150,0.1661,0.1661
0.8775,7.5375,0.1666,0.1666
0.8887,7.5600,0.1675,0.1675
0.9000,7.5825,0.1677,0.1677
0.9113,7.6050,0.1671,0.1671
0.9337,7.6275,0.1654,0.1654
0.9450,7.6500,0.1644,0.1644
0.9675,7.6725,0.1647,0.1647
0.9900,7.6950,0.1645,0.1645
1.0125,7.7062,0.1618,0.1618
1.0350,7.7287,0.1623,0.1623
1.0575,7.7512,0.1628,0.1628
1.0800,7.7625,0.1622,0.1622
1.1025,7.7850,0.1613,0.1613
1.1250,7.7962,0.1628,0.1628
1.1475,7.8075,0.1645,0.1645
1.1700,7.8300,0.1628,0.1628
1.1925,7.8300,0.1657,0.1657
1.2150,7.8412,0.1628,0.1628
1.2375,7.8412,0.1640,0.1640
1.2600,7.8525,0.1619,0.1619
1.2825,7.8525,0.1638,0.1638
1.3050,7.8525,0.1657,0.1657
1.3275,7.8637,0.1650,0.1650
1.3500,7.8750,0.1645,0.1645
1.3725,7.8750,0.1661,0.1661
1.3950,7.8750,0.1647,0.1647
1.4175,7.8862,0.1647,0.1647
1.4400,7.8862,0.1661,0.1661
1.4625,7.8862,0.1654,0.1654
1.4850,7.8975,0.1672,0.1672
1.5075,7.8975,0.1687,0.1687
1.5300,7.8975,0.1687,0.1687
1.5525,7.8975,0.1687,0.1687
1.5750,7.8975,0.1687,0.1687
1.5975,7.8975,0.1687,0.1687
1.6200,7.8975,0.1687,0.1687
1.6425,7.8975,0.1687,0.1687
1.6650,7.8975,0.1687,0.1687
1.6875,7.8975,0.1687,0.1687
1.7100,7.8975,0.1687,0.1687
1.7325,7.8975,0.1687,0.1687
1.7550,7.8975,0.1687,0.1687
1.7775,7.8975,0.1687,0.1687
1.8000,7.8975,0.1687,0.1687
1.8225,7.8975,0.1672,0.1672
1.8450,7.8862,0.1654,0.1654
1.8675,7.8862,0.1661,0.1661
1.8900,7.8862,0.1647,0.1647
1.9125,7.8750,0.1647,0.1647
1.9350,7.8750,0.1661,0.1661
1.9575,7.8750,0.1654,0.1654
1.9800,7.8750,0.1650,0.1650
2.0025,7.8750,0.1650,0.1650
2.0250,7.8637,0.1687,0.1687
2.0475,7.8637,0.1687,0.1687
2.0700,7.8637,0.1687,0.1687
2.0925,7.8637,0.1687,0.1687
2.1150,7.8637,0.1687,0.1687
2.1375,7.8637,0.1687,0.1687
2.1600,7.8637,0.1687,0.1687
2.1825,7.8637,0.1684,0.1684
2.2050,7.8637,0.1671,0.1671
2.2275,7.8525,0.1657,0.1657
2.2500,7.8525,0.1665,0.1665
2.2725,7.8525,0.1649,0.1649
2.2950,7.8412,0.1656,0.1656
2.3175,7.8412,0.1647,0.1647
2.3400,7.8412,0.1634,0.1634
2.3625,7.8300,0.1661,0.1661
2.3850,7.8300,0.1654,0.1654
2.4075,7.8300,0.1650,0.1650
2.4300,7.8300,0.1650,0.1650
2.4525,7.8300,0.1650,0.1650
2.4750,7.8300,0.1650,0.1650
2.4975,7.8300,0.1650,0.1650
2.5200,7.8300,0.1650,0.1650
2.5425,7.8300,0.1650,0.1650
2.5650,7.8300,0.1650,0.1650
2.5875,7.8300,0.1650,0.1650
2.6100,7.8300,0.1650,0.1650
2.6325,7.8187,0.1671,0.1671
2.6550,7.8075,0.1647,0.1647
2.6775,7.8075,0.1664,0.1664
2.7000,7.8075,0.1656,0.1656
2.7225,7.7962,0.1672,0.1672
2.7450,7.7962,0.1665,0.1665
2.7675,7.7962,0.1657,0.1657
2.7900,7.7962,0.1652,0.1652
2.8125,7.7850,0.1687,0.1687
2.8350,7.7850,0.1687,0.1687
2.8575,7.7850,0.1687,0.1687
2.8800,7.7850,0.1687,0.1687
2.9025,7.7850,0.1687,0.1687
2.9250,7.7850,0.1687,0.1687
2.9475,7.7850,0.1687,0.1687
2.9700,7.7850,0.1687,0.1687
2.9925,7.7850,0.1687,0.1687
3.0150,7.7850,0.1685,0.1685
3.0375,7.7737,0.1652,0.1652
3.0600,7.7737,0.1657,0.1657
3.0825,7.7737,0.1656,0.1656
3.1050,7.7737,0.1640,0.1640
3.1275,7.7625,0.1656,0.1656
3.1500,7.7625,0.1657,0.1657
3.1725,7.7625,0.1652,0.1652
3.1950,7.7625,0.1650,0.1650
3.2175,7.7512,0.1687,0.1687
3.2400,7.7512,0.1687,0.1687
3.2625,7.7512,0.1687,0.1687
3.2850,7.7512,0.1687,0.1687
3.3075,7.7512,0.1687,0.1687
3.3300,7.7512,0.1687,0.1687
3.3525,7.7512,0.1687,0.1687
3.3750,7.7512,0.1687,0.1687
3.3975,7.7512,0.1677,0.1677
3.4200,7.7512,0.1665,0.1665
3.4425,7.7512,0.1657,0.1657
3.4650,7.7400,0.1654,0.1654
3.4875,7.7400,0.1661,0.1661
3.5100,7.7400,0.1649,0.1649
3.5325,7.7287,0.1647,0.1647
3.5550,7.7287,0.1647,0.1647
3.5775,7.7287,0.1634,0.1634
3.6000,7.7175,0.1661,0.1661
3.6225,7.7175,0.1654,0.1654
3.6450,7.7175,0.1650,0.1650
3.6675,7.7175,0.1650,0.1650
3.6900,7.7175,0.1650,0.1650
3.7125,7.7175,0.1650,0.1650
3.7350,7.7175,0.1650,0.1650
3.7575,7.7175,0.1650,0.1650
3.7800,7.7175,0.1650,0.1650
3.8025,7.7175,0.1650,0.1650
3.8250,7.7175,0.1650,0.1650
3.8475,7.7175,0.1650,0.1650
3.8700,7.7175,0.1650,0.1650
3.8925,7.7062,0.1650,0.1650
3.9150,7.7062,0.1650,0.1650
3.9375,7.7062,0.1638,0.1638
3.9600,7.7062,0.1619,0.1619
3.9825,7.6950,0.1616,0.1616
4.0050,7.6950,0.1623,0.1623
4.0275,7.6950,0.1619,0.1619
4.0500,7.6950,0.1614,0.1614
4.0725,7.6950,0.1613,0.1613
4.0950,7.6950,0.1613,0.1613
4.1175,7.6837,0.1650,0.1650
4.1400,7.6837,0.1650,0.1650
4.1625,7.6837,0.1650,0.1650
4.1850,7.6725,0.1687,0.1687
4.2075,7.6725,0.1687,0.1687
4.2300,7.6725,0.1687,0.1687
4.2525,7.6725,0.1687,0.1687
4.2750,7.6725,0.1687,0.1687
4.2975,7.6725,0.1687,0.1687
4.3200,7.6725,0.1687,0.1687
4.3425,7.6725,0.1687,0.1687
4.3650,7.6725,0.1687,0.1687
4.3875,7.6725,0.1672,0.1672
4.4100,7.6612,0.1665,0.1665
4.4325,7.6612,0.1660,0.1660
4.4550,7.6500,0.1656,0.1656
4.4775,7.6500,0.1656,0.1656
4.5000,7.6500,0.1640,0.1640
4.5225,7.6387,0.1661,0.1661
4.5450,7.6387,0.1657,0.1657
4.5675,7.6387,0.1652,0.1652
4.5900,7.6387,0.1650,0.1650
4.6125,7.6387,0.1650,0.1650
4.6350,7.6387,0.1650,0.1650
4.6575,7.6387,0.1650,0.1650
4.6800,7.6387,0.1650,0.1650
4.7025,7.6387,0.1650,0.1650
4.7250,7.6387,0.1650,0.1650
4.7475,7.6387,0.1650,0.1650
4.7700,7.6387,0.1650,0.1650
4.7925,7.6275,0.1687,0.1687
4.8150,7.6275,0.1687,0.1687
4.8375,7.6275,0.1687,0.1687
4.8600,7.6275,0.1684,0.1684
4.8825,7.6275,0.1671,0.1671
4.9050,7.6275,0.1661,0.1661
4.9275,7.6162,0.1691,0.1691
4.9500,7.6162,0.1674,0.1674
4.9725,7.6162,0.1656,0.1656
4.9950,7.6050,0.1677,0.1677
5.0175,7.6050,0.1665,0.1665
5.0400,7.6050,0.1657,0.1657
5.0625,7.6050,0.1652,0.1652
5.0850,7.6050,0.1650,0.1650
