# x_m,y_m,w_tr_right_m,w_tr_left_m
5.9175,7.5263,0.1652,0.1652
5.9400,7.5263,0.1650,0.1650
5.9625,7.5263,0.1650,0.1650
5.9850,7.5263,0.1650,0.1650
6.0075,7.5263,0.1650,0.1650
6.0300,7.5263,0.1650,0.1650
6.0525,7.5263,0.1650,0.1650
6.0750,7.5263,0.1650,0.1650
6.0975,7.5263,0.1650,0.1650
6.1200,7.5263,0.1650,0.1650
6.1425,7.5263,0.1650,0.1650
6.1650,7.5263,0.1650,0.1650
6.1875,7.5263,0.1650,0.1650
6.2100,7.5263,0.1650,0.1650
6.2325,7.5263,0.1650,0.1650
6.2550,7.5150,0.1684,0.1684
6.2775,7.5150,0.1672,0.1672
6.3000,7.5038,0.1685,0.1685
6.3225,7.5038,0.1664,0.1664
6.3450,7.5038,0.1647,0.1647
6.3675,7.4925,0.1671,0.1671
6.3900,7.4925,0.1661,0.1661
6.4125,7.4925,0.1654,0.1654
6.4350,7.4812,0.1684,0.1684
6.4575,7.4812,0.1687,0.1687
6.4800,7.4812,0.1687,0.1687
6.5025,7.4812,0.1687,0.1687
6.5250,7.4812,0.1687,0.1687
6.5475,7.4812,0.1687,0.1687
6.5700,7.4812,0.1687,0.1687
6.5925,7.4812,0.1687,0.1687
6.6150,7.4812,0.1687,0.1687
6.6375,7.4812,0.1687,0.1687
6.6600,7.4812,0.1687,0.1687
6.6825,7.4812,0.1685,0.1685
6.7050,7.4700,0.1661,0.1661
6.7275,7.4700,0.1671,0.1671
6.7500,7.4700,0.1656,0.1656
6.7725,7.4587,0.1664,0.1664
6.7950,7.4587,0.1665,0.1665
6.8175,7.4587,0.1657,0.1657
6.8400,7.4587,0.1652,0.1652
6.8625,7.4475,0.1687,0.1687
6.8850,7.4475,0.1687,0.1687
6.9075,7.4475,0.1687,0.1687
6.9300,7.4475,0.1687,0.1687
6.9525,7.4475,0.1687,0.1687
6.9750,7.4475,0.1687,0.1687
6.9975,7.4475,0.1687,0.1687
7.0200,7.4475,0.1687,0.1687
7.0425,7.4475,0.1684,0.1684
7.0650,7.4475,0.1671,0.1671
7.0875,7.4475,0.1661,0.1661
7.1100,7.4475,0.1654,0.1654
7.1325,7.4475,0.1650,0.1650
7.1550,7.4475,0.1650,0.1650
7.1775,7.4362,0.1677,0.1677
7.2000,7.4362,0.1665,0.1665
7.2225,7.4362,0.1656,0.1656
7.2450,7.4250,0.1677,0.1677
7.2675,7.4137,0.1687,0.1687
7.2900,7.4137,0.1687,0.1687
7.3125,7.4137,0.1677,0.1677
7.3350,7.4137,0.1665,0.1665
7.3575,7.4137,0.1657,0.1657
7.3800,7.4137,0.1652,0.1652
7.4025,7.4137,0.1650,0.1650
7.4250,7.4137,0.1650,0.1650
7.4475,7.4137,0.1650,0.1650
7.4700,7.4137,0.1650,0.1650
7.4925,7.4137,0.1650,0.1650
7.5150,7.4137,0.1650,0.1650
7.5375,7.4137,0.1650,0.1650
7.5600,7.4025,0.1684,0.1684
7.5825,7.3912,0.1664,0.1664
7.6050,7.3912,0.1674,0.1674
7.6275,7.3912,0.1656,0.1656
7.6500,7.3800,0.1677,0.1677
7.6725,7.3800,0.1665,0.1665
7.6950,7.3687,0.1687,0.1687
7.7175,7.3687,0.1687,0.1687
7.7400,7.3687,0.1687,0.1687
7.7625,7.3687,0.1687,0.1687
7.7850,7.3687,0.1687,0.1687
7.8075,7.3687,0.1687,0.1687
7.8300,7.3687,0.1687,0.1687
7.8525,7.3687,0.1687,0.1687
7.8750,7.3687,0.1687,0.1687
7.8975,7.3687,0.1687,0.1687
7.9200,7.3687,0.1687,0.1687
7.9425,7.3687,0.1687,0.1687
7.9650,7.3687,0.1687,0.1687
7.9875,7.3687,0.1687,0.1687
8.0100,7.3687,0.1685,0.1685
8.0325,7.3575,0.1661,0.1661
8.0550,7.3575,0.1671,0.1671
8.0775,7.3575,0.1656,0.1656
